user_id,session_id,last_search_keyword,dominant_category,search_count,product_view_count,detail_view_count,dwell_time_sec,add_wishlist_count,add_to_cart_count,remove_from_cart_count,purchase_count,target_label
U001,S001,laptop,work-tech,6,12,5,410,1,2,0,1,high_intent
U002,S002,desk lamp,work-tech,4,7,3,180,1,1,0,0,medium_intent
U003,S003,yoga mat,wellness,5,9,4,320,1,2,1,1,high_intent
U004,S004,water bottle,wellness,3,6,2,110,0,0,0,0,low_intent
U005,S005,travel bag,travel-everyday,7,11,6,390,2,3,0,1,high_intent
U006,S006,tote bag,travel-everyday,4,8,3,165,1,1,1,0,medium_intent
U007,S007,skin care,beauty-care,5,10,5,300,2,2,0,0,medium_intent
U008,S008,coffee press,kitchen-dining,2,5,2,95,0,0,0,0,low_intent
U009,S009,diffuser,home-living,6,10,4,275,1,2,0,0,medium_intent
U010,S010,blanket,home-living,2,4,1,70,0,0,0,0,low_intent
U011,S011,laptop for study,work-tech,8,14,7,520,2,3,0,1,high_intent
U012,S012,portable mirror,beauty-care,3,7,3,150,0,1,0,0,medium_intent
U013,S013,bamboo board,kitchen-dining,2,6,2,105,0,0,0,0,low_intent
U014,S014,hydration bottle,wellness,4,8,4,210,1,1,0,0,medium_intent
U015,S015,overnight bag,travel-everyday,6,12,6,430,1,3,0,1,high_intent
U016,S016,calm diffuser,home-living,5,9,4,260,1,1,1,0,medium_intent
U017,S017,desk setup,work-tech,3,5,2,130,0,0,0,0,low_intent
U018,S018,yoga home workout,wellness,7,13,6,470,2,2,0,1,high_intent
U019,S019,travel tote,travel-everyday,4,7,3,175,0,1,0,0,medium_intent
U020,S020,starter skincare,beauty-care,6,10,5,295,2,2,0,0,medium_intent
U021,S021,kitchen prep,kitchen-dining,8,16,6,344,1,3,0,1,high_intent
U022,S022,stretching routine,wellness,7,9,5,155,0,1,0,0,medium_intent
U023,S023,overnight bag,travel-everyday,7,6,5,200,2,1,1,0,medium_intent
U024,S024,gentle skincare,beauty-care,4,3,2,106,0,0,0,0,low_intent
U025,S025,portable workstation,work-tech,9,13,5,338,2,4,1,1,high_intent
U026,S026,bedside diffuser,home-living,4,5,3,266,0,1,1,0,medium_intent
U027,S027,morning brew,kitchen-dining,7,7,3,193,1,2,0,0,medium_intent
U028,S028,yoga mat,wellness,3,2,1,109,1,0,1,0,low_intent
U029,S029,weekender,travel-everyday,2,7,2,150,0,0,1,0,low_intent
U030,S030,gentle skincare,beauty-care,8,10,6,325,2,3,0,2,high_intent
U031,S031,office setup,work-tech,9,12,8,525,1,4,0,1,high_intent
U032,S032,reading nook,home-living,6,8,5,234,1,2,0,0,medium_intent
U033,S033,kitchen prep,kitchen-dining,5,11,5,223,2,2,0,0,medium_intent
U034,S034,yoga mat,wellness,4,7,1,94,0,0,0,0,low_intent
U035,S035,commuter bag,travel-everyday,9,15,8,306,2,4,1,2,high_intent
U036,S036,self care set,beauty-care,7,8,3,184,1,2,0,0,medium_intent
U037,S037,laptop,work-tech,6,10,5,283,1,2,0,0,medium_intent
U038,S038,calm home,home-living,3,7,2,133,1,0,1,0,low_intent
U039,S039,bamboo board,kitchen-dining,4,2,1,85,0,0,0,0,low_intent
U040,S040,water bottle,wellness,7,10,7,374,2,4,1,1,high_intent
U041,S041,weekender,travel-everyday,6,15,5,436,2,3,1,2,high_intent
U042,S042,starter skincare,beauty-care,5,8,5,242,0,2,1,0,medium_intent
U043,S043,study laptop,work-tech,7,6,4,228,1,1,1,0,medium_intent
U044,S044,reading nook,home-living,4,6,2,99,0,0,1,0,low_intent
U045,S045,kitchen prep,kitchen-dining,9,16,8,321,2,4,0,2,high_intent
U046,S046,stretching routine,wellness,4,5,3,300,0,1,0,0,medium_intent
U047,S047,overnight bag,travel-everyday,5,8,5,187,2,1,1,0,medium_intent
U048,S048,gentle skincare,beauty-care,2,2,2,138,0,0,1,0,low_intent
U049,S049,desk lamp,work-tech,4,6,2,69,1,0,0,0,low_intent
U050,S050,calm home,home-living,8,9,7,438,2,4,1,1,high_intent
U051,S051,morning brew,kitchen-dining,6,15,8,379,2,4,0,2,high_intent
U052,S052,stretching routine,wellness,7,10,5,229,2,2,1,0,medium_intent
U053,S053,overnight bag,travel-everyday,5,7,4,201,0,1,0,0,medium_intent
U054,S054,self care set,beauty-care,4,5,2,150,0,0,1,0,low_intent
U055,S055,coding laptop,work-tech,7,10,7,399,3,3,0,2,high_intent
U056,S056,bedside diffuser,home-living,7,11,5,236,1,1,1,0,medium_intent
U057,S057,meal prep,kitchen-dining,5,6,3,294,0,1,0,0,medium_intent
U058,S058,stretching routine,wellness,4,5,2,127,0,0,0,0,low_intent
U059,S059,weekender,travel-everyday,2,4,2,40,0,0,0,0,low_intent
U060,S060,gentle skincare,beauty-care,9,10,5,499,2,3,0,2,high_intent
U061,S061,desk lamp,work-tech,9,14,6,553,1,3,1,1,high_intent
U062,S062,bedside diffuser,home-living,7,10,3,145,0,2,0,0,medium_intent
U063,S063,cutting board,kitchen-dining,4,7,3,295,2,1,1,0,medium_intent
U064,S064,water bottle,wellness,4,2,1,56,0,0,1,0,low_intent
U065,S065,tote bag,travel-everyday,9,10,6,521,1,3,0,1,high_intent
U066,S066,starter skincare,beauty-care,5,11,3,150,0,1,0,0,medium_intent
U067,S067,student device,work-tech,7,10,4,221,1,2,0,0,medium_intent
U068,S068,bedside diffuser,home-living,2,3,1,152,1,0,1,0,low_intent
U069,S069,coffee press,kitchen-dining,3,5,2,48,0,0,1,0,low_intent
U070,S070,home workout,wellness,8,11,8,339,2,3,1,1,high_intent
U071,S071,commuter bag,travel-everyday,6,13,5,346,1,3,1,2,high_intent
U072,S072,portable mirror,beauty-care,7,5,4,329,2,2,0,0,medium_intent
U073,S073,study laptop,work-tech,6,8,4,140,2,2,0,0,medium_intent
U074,S074,diffuser,home-living,1,2,0,70,1,0,1,0,low_intent
U075,S075,cutting board,kitchen-dining,8,13,6,491,1,3,1,1,high_intent
U076,S076,fitness gear,wellness,4,7,3,259,0,2,0,0,medium_intent
U077,S077,commuter bag,travel-everyday,4,10,5,258,0,1,0,0,medium_intent
U078,S078,gentle skincare,beauty-care,2,4,2,115,0,0,1,0,low_intent
U079,S079,coding laptop,work-tech,4,2,2,159,0,0,0,0,low_intent
U080,S080,diffuser,home-living,6,11,4,387,2,2,0,1,high_intent
U081,S081,morning brew,kitchen-dining,9,9,7,394,3,3,0,2,high_intent
U082,S082,water bottle,wellness,7,7,3,202,0,1,1,0,medium_intent
U083,S083,weekender,travel-everyday,4,8,3,284,0,1,1,0,medium_intent
U084,S084,self care set,beauty-care,3,7,1,117,1,0,1,0,low_intent
U085,S085,coding laptop,work-tech,8,11,8,539,3,4,1,1,high_intent
U086,S086,sofa decor,home-living,7,9,5,298,2,2,1,0,medium_intent
U087,S087,home cafe,kitchen-dining,7,5,3,304,2,2,1,0,medium_intent
U088,S088,stretching routine,wellness,3,3,2,154,1,0,0,0,low_intent
U089,S089,overnight bag,travel-everyday,2,2,1,132,0,0,0,0,low_intent
U090,S090,portable mirror,beauty-care,8,10,6,386,2,3,0,1,high_intent
U091,S091,desk lamp,work-tech,9,11,6,536,2,3,1,2,high_intent
U092,S092,reading nook,home-living,7,8,5,202,2,1,1,0,medium_intent
U093,S093,kitchen prep,kitchen-dining,5,8,4,214,2,2,0,0,medium_intent
U094,S094,fitness gear,wellness,3,2,2,81,0,0,1,0,low_intent
U095,S095,weekender,travel-everyday,8,16,6,427,3,4,0,1,high_intent
U096,S096,beauty routine,beauty-care,5,10,4,167,2,1,0,0,medium_intent
U097,S097,coding laptop,work-tech,7,9,3,249,1,1,0,0,medium_intent
U098,S098,diffuser,home-living,1,6,0,121,0,0,0,0,low_intent
U099,S099,home cafe,kitchen-dining,4,6,2,160,0,0,0,0,low_intent
U100,S100,home workout,wellness,8,10,8,434,2,2,1,2,high_intent
U101,S101,tote bag,travel-everyday,9,9,6,488,1,4,1,2,high_intent
U102,S102,portable mirror,beauty-care,7,6,5,195,1,2,1,0,medium_intent
U103,S103,study laptop,work-tech,5,7,5,237,2,1,1,0,medium_intent
U104,S104,calm home,home-living,4,7,2,141,1,0,1,0,low_intent
U105,S105,bamboo board,kitchen-dining,7,12,7,476,3,2,1,1,high_intent
